1583963761.000000, 1583963761.000000, 1583963761.000000
32.000000, 32.000000, 32.000000
36,2,47
40,2,49
42,3,48
43,1,49
48,2,52
47,2,54
50,1,56
52,0,56
52,-3,54
51,-7,56
49,-10,54
44,-13,52
40,-15,50
40,-20,49
38,-23,50
33,-27,47
32,-29,47
29,-29,45
26,-31,44
26,-31,44
23,-31,45
21,-32,44
18,-32,44
15,-32,44
9,-32,45
10,-32,46
9,-31,47
9,-32,47
7,-34,48
6,-35,50
3,-36,50
-1,-36,51
-1,-36,51
-4,-37,47
-2,-36,51
-3,-37,51
-7,-39,52
-8,-39,53
-11,-40,51
-11,-40,48
-13,-40,48
-16,-42,45
-18,-42,45
-18,-41,43
-17,-41,42
-19,-41,42
-22,-42,41
-22,-41,40
-23,-40,39
-24,-40,38
-24,-39,39
-25,-39,39
-25,-39,39
-26,-40,40
-25,-40,41
-27,-41,40
-25,-41,39
-29,-41,38
-28,-41,38
-28,-41,37
-28,-41,38
-27,-41,37
-28,-41,36
-27,-41,36
-29,-41,37
-29,-41,36
-29,-41,35
-28,-42,38
-29,-41,37
-28,-42,37
-28,-42,36
-29,-41,38
-28,-41,37
-27,-42,38
-26,-42,36
-26,-41,36
-25,-41,37
-24,-40,37
-22,-40,35
-20,-39,37
-21,-40,36
-16,-39,38
-14,-40,39
-15,-40,35
-12,-39,35
-9,-39,38
-10,-39,32
-1,-40,35
1,-41,38
6,-40,36
9,-41,42
11,-40,42
19,-38,48
23,-36,50
27,-31,50
30,-29,53
38,-20,56
43,-15,58
46,-11,61
47,-6,58
45,-4,60
47,-2,61
52,-2,61
55,-2,59
50,-2,52
46,-2,48
37,0,47
40,0,48
49,0,50
52,1,52
43,1,47
40,3,48
42,1,48
42,4,50
43,4,48
43,3,50
42,3,49
42,2,48
41,2,48
41,2,48
41,2,48
42,3,48
41,3,48
42,2,49
42,1,49
41,3,48
39,2,48
41,3,48
44,2,48
40,3,48
39,2,49
42,2,46
43,3,46
41,4,47
43,2,49
41,2,49
37,3,50
37,3,51
41,3,50
40,4,50
39,3,50
40,3,49
41,2,48
42,2,47
39,2,48
40,3,47
42,3,48
42,3,49
44,3,49
43,3,50
40,3,48
42,2,49
42,1,47
42,1,47
41,2,46
41,1,47
43,2,48
43,2,47
45,3,47
43,1,47
41,2,49
41,2,49
39,4,49
42,4,49
45,3,49
45,3,46
41,2,47
38,3,48
38,3,50
42,4,51
42,4,50
41,4,48
42,3,48
39,3,48
39,3,50
42,3,49
41,3,50
40,4,50
39,5,47
38,5,50
41,5,51
40,5,51
41,5,50
40,5,51
39,5,50
40,4,49
41,4,49
44,3,47
44,2,46
42,0,45
40,4,44
42,1,45
47,4,49
49,3,48
40,3,49
43,3,51
31,6,51
26,4,55
30,7,58
31,5,57
27,5,58
33,4,59
38,3,53
50,1,41
49,0,44
44,-4,42
46,-3,43
48,-1,43
49,-2,46
48,-1,47
47,-2,50
42,-5,51
34,-4,50
50,-5,46
50,-6,46
53,0,49
65,-4,50
67,-10,51
54,-16,47
53,-17,46
51,-20,45
52,-21,43
50,-20,40
55,-22,39
31,-8,40
35,-10,33
25,-15,32
41,-17,36
37,-16,37
26,-16,36
24,-16,35
27,-14,34
26,-11,37
29,-7,35
37,0,42
39,2,46
45,5,49
48,8,52
52,9,54
64,11,70
46,1,41
49,2,42
47,0,41
41,-1,32
45,-3,29
47,0,39
45,-1,39
48,-1,39
63,0,61
51,3,52
61,-2,38
49,-5,31
46,-4,41
51,1,43
52,2,38
50,0,38
51,5,40
49,11,33
45,9,35
47,5,41
38,4,41
34,-4,54
37,-12,61
36,-15,43
34,-18,63
40,-20,59
47,-21,51
53,-20,49
61,-17,36
60,-14,30
64,-4,17
77,1,11
76,3,8
69,4,11
62,5,14
55,6,18
53,9,20
52,10,23
50,11,27
49,12,28
45,14,29
47,15,29
53,14,30
55,13,28
60,12,29
63,10,34
65,7,29
59,6,30
57,4,29
58,3,26
57,3,27
57,3,27
56,2,26
56,2,25
60,4,26
60,4,26
56,5,27
56,5,27
57,6,27
55,7,28
55,8,30
56,8,30
55,9,31
53,10,28
53,11,27
59,13,27
64,10,31
58,6,32
57,-3,30
54,-7,29
54,-16,31
56,-20,31
62,-24,34
62,-25,38
61,-25,38
55,-24,36
51,-21,37
44,-18,40
37,-15,44
30,-8,49
30,-2,45
38,2,42
33,7,44
45,8,42
36,9,39
41,9,38
57,13,57
58,16,55
63,9,50
50,13,35
62,18,36
59,14,42
57,10,50
53,8,49
44,2,39
41,-2,40
34,-5,33
36,-11,30
34,-13,26
35,-18,29
38,-17,32
33,-28,37
30,-30,38
41,-26,36
31,-28,24
41,-26,34
51,-25,37
42,-16,35
53,-18,39
65,-29,42
53,-19,29
56,-14,28
57,-7,24
50,-6,18
64,-1,27
73,1,32
91,-5,45
70,6,49
54,-7,33
49,0,30
52,0,28
54,-4,24
54,-3,29
56,-1,26
63,-2,29
54,0,40
57,1,41
54,6,39
50,7,41
54,6,38
61,-5,25
40,10,47
52,6,38
46,1,43
35,10,42
43,6,44
50,3,42
10,-5,60
73,8,30
54,0,32
56,-1,33
40,-5,42
52,-5,34
51,-4,36
50,-8,36
53,-3,37
54,-5,33
54,-5,41
52,-5,42
47,-5,42
47,-5,44
47,-4,45
44,-4,48
46,-4,48
56,-4,54
59,-6,53
56,-11,53
53,-14,53
53,-21,49
48,-24,49
46,-26,49
42,-31,44
38,-32,40
33,-32,40
29,-33,39
25,-34,36
21,-33,37
19,-33,36
18,-33,38
17,-33,40
12,-34,38
12,-33,41
9,-36,43
8,-36,46
7,-38,46
11,-39,48
7,-40,49
8,-41,49
5,-41,49
3,-41,50
2,-41,48
1,-39,46
1,-40,48
2,-41,49
-5,-42,49
-7,-42,50
-6,-40,50
-7,-41,48
-10,-41,47
-13,-42,49
-13,-41,48
-15,-43,45
-15,-42,43
-18,-42,43
-19,-42,42
-19,-42,42
-19,-42,40
-20,-42,40
-22,-42,40
-22,-42,40
-23,-42,39
-23,-42,38
-23,-43,41
-25,-42,38
-25,-42,38
-25,-41,38
-26,-40,37
-26,-41,39
-26,-41,39
-27,-41,37
-27,-41,38
-28,-41,39
-28,-41,36
-27,-41,37
-28,-41,38
-28,-42,39
-28,-42,39
-28,-43,39
-28,-42,39
-28,-41,37
-28,-41,38
-28,-41,37
-28,-41,37
-28,-41,36
-28,-41,36
-28,-41,37
-27,-41,37
-27,-41,36
